index, start time, end time, latency (microsecond)
333, 1714494388.70670, 1714494388.89471, 18801
334, 1714494388.100405, 1714494388.117471, 17066
335, 1714494388.128733, 1714494388.147897, 19164
336, 1714494388.158729, 1714494388.176448, 17719
337, 1714494388.187493, 1714494388.211297, 23804
338, 1714494388.223082, 1714494388.245613, 22531
339, 1714494388.256615, 1714494388.276516, 19901
340, 1714494388.288670, 1714494388.313783, 25113
341, 1714494388.324198, 1714494388.338792, 14594
342, 1714494388.349609, 1714494388.372088, 22479
343, 1714494388.382627, 1714494388.399649, 17022
344, 1714494388.410589, 1714494388.427515, 16926
345, 1714494388.438602, 1714494388.455028, 16426
346, 1714494388.466208, 1714494388.485127, 18919
347, 1714494388.496128, 1714494388.512150, 16022
348, 1714494388.522514, 1714494388.540170, 17656
349, 1714494388.550757, 1714494388.569861, 19104
350, 1714494388.580831, 1714494388.599536, 18705
351, 1714494388.611490, 1714494388.628179, 16689
352, 1714494388.640511, 1714494388.660623, 20112
353, 1714494388.672640, 1714494388.691716, 19076
354, 1714494388.703093, 1714494388.721098, 18005
355, 1714494388.732306, 1714494388.749439, 17133
356, 1714494388.760065, 1714494388.777949, 17884
357, 1714494388.788815, 1714494388.805618, 16803
358, 1714494388.816584, 1714494388.833888, 17304
359, 1714494388.846379, 1714494388.863966, 17587
360, 1714494388.876472, 1714494388.895088, 18616
361, 1714494388.907208, 1714494388.924258, 17050
362, 1714494388.936758, 1714494388.955646, 18888
363, 1714494388.966091, 1714494388.984546, 18455
364, 1714494388.996777, 1714494389.16732, 19955
365, 1714494389.28725, 1714494389.47183, 18458
366, 1714494389.59291, 1714494389.77955, 18664
367, 1714494389.88867, 1714494389.105968, 17101
368, 1714494389.118872, 1714494389.137683, 18811
369, 1714494389.150202, 1714494389.170097, 19895
370, 1714494389.180902, 1714494389.195601, 14699
371, 1714494389.206759, 1714494389.225776, 19017
372, 1714494389.238768, 1714494389.256991, 18223
373, 1714494389.269147, 1714494389.289076, 19929
374, 1714494389.301046, 1714494389.318888, 17842
375, 1714494389.331508, 1714494389.350919, 19411
376, 1714494389.361727, 1714494389.379934, 18207
377, 1714494389.390828, 1714494389.408654, 17826
378, 1714494389.421240, 1714494389.440095, 18855
379, 1714494389.451926, 1714494389.471654, 19728
380, 1714494389.482854, 1714494389.503466, 20612
381, 1714494389.514134, 1714494389.532464, 18330
382, 1714494389.543771, 1714494389.563583, 19812
383, 1714494389.574263, 1714494389.592555, 18292
384, 1714494389.605055, 1714494389.623027, 17972
385, 1714494389.635494, 1714494389.653704, 18210
386, 1714494389.665549, 1714494389.682712, 17163
387, 1714494389.694911, 1714494389.712826, 17915
388, 1714494389.725081, 1714494389.745670, 20589
389, 1714494389.756351, 1714494389.775280, 18929
390, 1714494389.785692, 1714494389.802349, 16657
391, 1714494389.814733, 1714494389.832596, 17863
392, 1714494389.845392, 1714494389.863806, 18414
393, 1714494389.875181, 1714494389.893902, 18721
394, 1714494389.906036, 1714494389.921342, 15306
395, 1714494389.933439, 1714494389.953914, 20475
396, 1714494389.965579, 1714494389.984284, 18705
397, 1714494389.995665, 1714494390.14251, 18586
398, 1714494390.26930, 1714494390.46662, 19732
399, 1714494390.57658, 1714494390.75383, 17725
400, 1714494390.86871, 1714494390.105302, 18431
401, 1714494390.116569, 1714494390.134217, 17648
402, 1714494390.146694, 1714494390.165841, 19147
403, 1714494390.176989, 1714494390.197915, 20926
404, 1714494390.210821, 1714494390.229806, 18985
405, 1714494390.240861, 1714494390.259309, 18448
406, 1714494390.271327, 1714494390.291425, 20098
407, 1714494390.302843, 1714494390.321588, 18745
408, 1714494390.334228, 1714494390.371490, 37262
409, 1714494390.381877, 1714494390.399132, 17255
410, 1714494390.410056, 1714494390.428444, 18388
411, 1714494390.440128, 1714494390.460489, 20361
412, 1714494390.472563, 1714494390.493747, 21184
413, 1714494390.504728, 1714494390.525036, 20308
414, 1714494390.537117, 1714494390.554239, 17122
415, 1714494390.565106, 1714494390.583748, 18642
416, 1714494390.594772, 1714494390.613749, 18977
417, 1714494390.625854, 1714494390.643791, 17937
418, 1714494390.656057, 1714494390.674717, 18660
419, 1714494390.687356, 1714494390.708170, 20814
420, 1714494390.719491, 1714494390.738051, 18560
421, 1714494390.749451, 1714494390.767191, 17740
422, 1714494390.778373, 1714494390.798700, 20327
423, 1714494390.810116, 1714494390.828782, 18666
424, 1714494390.840191, 1714494390.860352, 20161
425, 1714494390.872768, 1714494390.893564, 20796
426, 1714494390.904228, 1714494390.923010, 18782
427, 1714494390.935905, 1714494390.957856, 21951
428, 1714494390.969058, 1714494390.989590, 20532
429, 1714494391.1821, 1714494391.22738, 20917
430, 1714494391.34937, 1714494391.54616, 19679
431, 1714494391.65935, 1714494391.108577, 42642
432, 1714494391.121056, 1714494391.142230, 21174
433, 1714494391.154176, 1714494391.172416, 18240
434, 1714494391.183730, 1714494391.204054, 20324
435, 1714494391.215245, 1714494391.233835, 18590
436, 1714494391.245888, 1714494391.264723, 18835
437, 1714494391.276942, 1714494391.297377, 20435
438, 1714494391.308474, 1714494391.329032, 20558
439, 1714494391.339686, 1714494391.359644, 19958
440, 1714494391.370105, 1714494391.388616, 18511
441, 1714494391.401299, 1714494391.421880, 20581
442, 1714494391.433647, 1714494391.448194, 14547
443, 1714494391.460384, 1714494391.479304, 18920
444, 1714494391.490991, 1714494391.511004, 20013
445, 1714494391.521999, 1714494391.541581, 19582
446, 1714494391.552716, 1714494391.572222, 19506
447, 1714494391.584000, 1714494391.602149, 18149
448, 1714494391.613523, 1714494391.633098, 19575
449, 1714494391.645475, 1714494391.671279, 25804
450, 1714494391.683645, 1714494391.706376, 22731
451, 1714494391.717227, 1714494391.739845, 22618
452, 1714494391.751248, 1714494391.775843, 24595
453, 1714494391.786338, 1714494391.803774, 17436
454, 1714494391.815233, 1714494391.835930, 20697
455, 1714494391.847208, 1714494391.866614, 19406
456, 1714494391.877741, 1714494391.895928, 18187
457, 1714494391.907929, 1714494391.926510, 18581
458, 1714494391.937457, 1714494391.957562, 20105
459, 1714494391.968283, 1714494391.988401, 20118
460, 1714494392.1098, 1714494392.23312, 22214
461, 1714494392.33512, 1714494392.60216, 26704
462, 1714494392.71685, 1714494392.88631, 16946
463, 1714494392.99820, 1714494392.119034, 19214
464, 1714494392.131191, 1714494392.152338, 21147
465, 1714494392.163293, 1714494392.180321, 17028
466, 1714494392.191139, 1714494392.210155, 19016
467, 1714494392.221537, 1714494392.239659, 18122
468, 1714494392.251735, 1714494392.270639, 18904
