index, start time, end time, latency (microsecond)
519, 1714495477.337991, 1714495477.354679, 16688
520, 1714495477.365759, 1714495477.383580, 17821
521, 1714495477.394135, 1714495477.409825, 15690
522, 1714495477.421772, 1714495477.437744, 15972
523, 1714495477.450332, 1714495477.465146, 14814
524, 1714495477.476998, 1714495477.491811, 14813
525, 1714495477.502365, 1714495477.517485, 15120
526, 1714495477.529350, 1714495477.545386, 16036
527, 1714495477.556932, 1714495477.571390, 14458
528, 1714495477.582161, 1714495477.596741, 14580
529, 1714495477.608703, 1714495477.624384, 15681
530, 1714495477.635742, 1714495477.651936, 16194
531, 1714495477.662935, 1714495477.682022, 19087
532, 1714495477.693924, 1714495477.710958, 17034
533, 1714495477.721966, 1714495477.737867, 15901
534, 1714495477.748524, 1714495477.764089, 15565
535, 1714495477.776027, 1714495477.791482, 15455
536, 1714495477.802884, 1714495477.819021, 16137
537, 1714495477.831671, 1714495477.848095, 16424
538, 1714495477.860491, 1714495477.877878, 17387
539, 1714495477.890166, 1714495477.906949, 16783
540, 1714495477.918275, 1714495477.934697, 16422
541, 1714495477.945790, 1714495477.961843, 16053
542, 1714495477.974267, 1714495477.991507, 17240
543, 1714495478.2455, 1714495478.20075, 17620
544, 1714495478.31218, 1714495478.49296, 18078
545, 1714495478.60244, 1714495478.79365, 19121
546, 1714495478.90216, 1714495478.106327, 16111
547, 1714495478.116820, 1714495478.131761, 14941
548, 1714495478.144237, 1714495478.161091, 16854
549, 1714495478.171665, 1714495478.190534, 18869
550, 1714495478.201416, 1714495478.229141, 27725
551, 1714495478.241512, 1714495478.266269, 24757
552, 1714495478.278224, 1714495478.303898, 25674
553, 1714495478.314404, 1714495478.337664, 23260
554, 1714495478.348369, 1714495478.369266, 20897
555, 1714495478.379952, 1714495478.395704, 15752
556, 1714495478.406542, 1714495478.420128, 13586
557, 1714495478.432059, 1714495478.455794, 23735
558, 1714495478.467500, 1714495478.492544, 25044
559, 1714495478.502745, 1714495478.520180, 17435
560, 1714495478.530976, 1714495478.548867, 17891
561, 1714495478.560644, 1714495478.579239, 18595
562, 1714495478.590774, 1714495478.611330, 20556
563, 1714495478.621978, 1714495478.641314, 19336
564, 1714495478.652994, 1714495478.670714, 17720
565, 1714495478.681635, 1714495478.697552, 15917
566, 1714495478.708011, 1714495478.724231, 16220
567, 1714495478.735091, 1714495478.748758, 13667
568, 1714495478.760613, 1714495478.777566, 16953
569, 1714495478.788547, 1714495478.807225, 18678
570, 1714495478.819332, 1714495478.833748, 14416
571, 1714495478.846062, 1714495478.861741, 15679
572, 1714495478.872587, 1714495478.888206, 15619
573, 1714495478.900227, 1714495478.912070, 11843
574, 1714495478.922799, 1714495478.939180, 16381
575, 1714495478.951359, 1714495478.970744, 19385
576, 1714495478.981815, 1714495478.999778, 17963
577, 1714495479.10291, 1714495479.27443, 17152
578, 1714495479.37722, 1714495479.52532, 14810
579, 1714495479.63340, 1714495479.77340, 14000
